Accuracy;Parameter;TestFehle;dauer;name;seed
0.6297586334378975;hidden_layer_sizes =(6, 12, 6) activation = relu solver = sgd alpha =1e-06 learning_rate=adaptive momentum = 0.9;0.3702413665621025;0.9240388870239258;MLPClassifier;10
0.6297586334378975;hidden_layer_sizes =(6, 12, 6) activation = relu solver = sgd alpha =1e-06 learning_rate=constant momentum = 0.9;0.3702413665621025;0.9525058269500732;MLPClassifier;10
0.6297586334378975;hidden_layer_sizes =(6, 12, 6) activation = logistic solver = sgd alpha =1e-06 learning_rate=adaptive momentum = 0.9;0.3702413665621025;0.5451562404632568;MLPClassifier;10
0.6297586334378975;hidden_layer_sizes =(6, 12, 6) activation = logistic solver = sgd alpha =1e-06 learning_rate=constant momentum = 0.9;0.3702413665621025;0.5692121982574463;MLPClassifier;10
0.6578321041159046;hidden_layer_sizes =(6, 12, 6) activation = relu solver = lbfgs alpha =1e-06 learning_rate=adaptive momentum = 0.9;0.34216789588409535;0.38378310203552246;MLPClassifier;10
0.6678036980938429;hidden_layer_sizes =(6, 12, 6) activation = relu solver = lbfgs alpha =1e-06 learning_rate=constant momentum = 0.9;0.3321963019061571;0.3490335941314697;MLPClassifier;10
0.6332627679336393;hidden_layer_sizes =(6, 12, 6) activation = logistic solver = lbfgs alpha =1e-06 learning_rate=adaptive momentum = 0.9;0.36673723206636066;0.4441053867340088;MLPClassifier;10
0.6317941481015997;hidden_layer_sizes =(6, 12, 6) activation = logistic solver = lbfgs alpha =1e-06 learning_rate=constant momentum = 0.9;0.36820585189840027;0.4828493595123291;MLPClassifier;10
0.6367429208048232;hidden_layer_sizes =(6, 12, 6) activation = relu solver = adam alpha =1e-06 learning_rate=adaptive momentum = 0.9;0.3632570791951768;1.0666897296905518;MLPClassifier;10
0.7115854405859496;hidden_layer_sizes =(6, 12, 6) activation = relu solver = adam alpha =1e-06 learning_rate=constant momentum = 0.9;0.28841455941405036;1.0444180965423584;MLPClassifier;10
0.6415233393202505;hidden_layer_sizes =(6, 12, 6) activation = logistic solver = adam alpha =1e-06 learning_rate=adaptive momentum = 0.9;0.3584766606797495;1.1411683559417725;MLPClassifier;10
